# time passed	number of events
7.500	232.000
15.000	240.000
22.500	245.000
30.000	226.000
37.500	223.000
45.000	218.000
52.500	207.000
60.000	235.000
67.500	260.000
75.000	218.000
82.500	207.000
90.000	259.000
97.500	245.000
105.000	269.000
112.500	229.000
120.000	246.000
127.500	234.000
135.000	232.000
142.500	213.000
150.000	230.000
157.500	237.000
165.000	226.000
172.500	242.000
180.000	238.000
187.500	249.000
195.000	202.000
202.500	246.000
210.000	244.000
217.500	226.000
225.000	215.000
232.500	273.000
240.000	236.000
247.500	248.000
255.000	213.000
262.500	226.000
270.000	224.000
277.500	237.000
285.000	230.000
292.500	256.000
300.000	230.000
307.500	240.000
315.000	243.000
322.500	232.000
330.000	237.000
337.500	230.000
345.000	222.000
352.500	237.000
360.000	230.000
367.500	240.000
375.000	235.000
382.500	240.000
390.000	232.000
397.500	222.000
405.000	244.000
412.500	234.000
420.000	253.000
427.500	257.000
435.000	241.000
442.500	234.000
450.000	234.000
457.500	232.000
465.000	224.000
472.500	257.000
480.000	222.000
487.500	228.000
495.000	232.000
502.500	228.000
510.000	193.000
517.500	239.000
525.000	241.000
532.500	250.000
540.000	244.000
547.500	224.000
555.000	249.000
562.500	238.000
570.000	214.000
577.500	262.000
585.000	232.000
592.500	233.000
600.000	212.000
607.500	229.000
615.000	221.000
622.500	236.000
630.000	249.000
637.500	231.000
645.000	237.000
652.500	269.000
660.000	255.000
667.500	246.000
675.000	218.000
682.500	228.000
690.000	232.000
697.500	251.000
705.000	216.000
712.500	233.000
720.000	217.000
727.500	222.000
735.000	215.000
742.500	209.000
750.000	232.000
757.500	236.000
765.000	226.000
772.500	247.000
780.000	253.000
787.500	212.000
795.000	255.000
802.500	231.000
810.000	231.000
817.500	240.000
825.000	224.000
832.500	231.000
840.000	233.000
847.500	246.000
855.000	220.000
862.500	265.000
870.000	246.000
877.500	263.000
885.000	243.000
892.500	240.000
900.000	225.000
907.500	237.000
915.000	240.000
922.500	235.000
930.000	219.000
937.500	233.000
945.000	266.000
952.500	232.000
960.000	252.000
967.500	247.000
975.000	223.000
982.500	216.000
990.000	222.000
997.500	239.000
1005.000	240.000
1012.500	226.000
1020.000	235.000
1027.500	239.000
1035.000	248.000
1042.500	275.000
1050.000	261.000
1057.500	253.000
1065.000	227.000
1072.500	231.000
1080.000	231.000
1087.500	227.000
1095.000	224.000
1102.500	253.000
1110.000	243.000
1117.500	231.000
1125.000	234.000
1132.500	246.000
1140.000	226.000
1147.500	229.000
1155.000	226.000
1162.500	245.000
1170.000	225.000
1177.500	244.000
1185.000	267.000
1192.500	213.000
1200.000	222.000
1207.500	222.000
1215.000	223.000
1222.500	265.000
1230.000	232.000
1237.500	232.000
1245.000	217.000
1252.500	260.000
1260.000	230.000
1267.500	257.000
1275.000	202.000
1282.500	233.000
1290.000	232.000
1297.500	258.000
1305.000	231.000
1312.500	231.000
1320.000	234.000
1327.500	224.000
1335.000	226.000
1342.500	241.000
1350.000	242.000
1357.500	225.000
1365.000	230.000
1372.500	223.000
1380.000	242.000
1387.500	214.000
1395.000	215.000
1402.500	237.000
1410.000	227.000
1417.500	217.000
1425.000	222.000
1432.500	251.000
1440.000	215.000
1447.500	227.000
1455.000	250.000
1462.500	246.000
1470.000	222.000
1477.500	233.000
1485.000	235.000
1492.500	212.000
1500.000	212.000
1507.500	243.000
1515.000	233.000
1522.500	226.000
1530.000	237.000
1537.500	221.000
1545.000	231.000
1552.500	203.000
1560.000	235.000
1567.500	228.000
1575.000	241.000
1582.500	216.000
1590.000	253.000
1597.500	237.000
1605.000	227.000
1612.500	228.000
1620.000	227.000
1627.500	215.000
1635.000	220.000
1642.500	236.000
1650.000	244.000
1657.500	223.000
1665.000	245.000
1672.500	229.000
1680.000	218.000
1687.500	225.000
1695.000	230.000
1702.500	227.000
1710.000	242.000
1717.500	222.000
1725.000	271.000
1732.500	257.000
1740.000	259.000
1747.500	257.000
1755.000	247.000
1762.500	276.000
1770.000	215.000
1777.500	238.000
1785.000	222.000
1792.500	235.000
1800.000	241.000
1807.500	247.000
1815.000	245.000
1822.500	237.000
1830.000	227.000
1837.500	264.000
1845.000	254.000
1852.500	224.000
1860.000	217.000
1867.500	233.000
1875.000	219.000
1882.500	225.000
1890.000	249.000
1897.500	239.000
1905.000	243.000
1912.500	230.000
1920.000	216.000
1927.500	261.000
1935.000	244.000
1942.500	235.000
1950.000	244.000
1957.500	205.000
1965.000	231.000
1972.500	236.000
1980.000	214.000
1987.500	225.000
1995.000	247.000
2002.500	243.000
2010.000	231.000
2017.500	220.000
2025.000	214.000
2032.500	242.000
2040.000	236.000
2047.500	250.000
2055.000	243.000
2062.500	172.000
2070.000	230.000
2077.500	256.000
2085.000	235.000
2092.500	244.000
2100.000	256.000
2107.500	231.000
2115.000	233.000
2122.500	243.000
2130.000	237.000
2137.500	215.000
2145.000	242.000
2152.500	240.000
2160.000	220.000
2167.500	263.000
2175.000	236.000
2182.500	231.000
2190.000	256.000
2197.500	238.000
2205.000	238.000
2212.500	230.000
2220.000	219.000
2227.500	229.000
2235.000	231.000
2242.500	211.000
2250.000	233.000
2257.500	255.000
2265.000	243.000
2272.500	252.000
2280.000	237.000
2287.500	244.000
2295.000	222.000
2302.500	237.000
2310.000	239.000
2317.500	214.000
2325.000	208.000
2332.500	233.000
2340.000	260.000
2347.500	220.000
2355.000	238.000
2362.500	258.000
2370.000	233.000
2377.500	237.000
2385.000	238.000
2392.500	220.000
2400.000	242.000
2407.500	250.000
2415.000	223.000
2422.500	216.000
2430.000	225.000
2437.500	229.000
2445.000	224.000
2452.500	211.000
2460.000	243.000
2467.500	238.000
2475.000	237.000
2482.500	229.000
2490.000	243.000
2497.500	227.000
2505.000	259.000
2512.500	224.000
2520.000	231.000
2527.500	225.000
2535.000	218.000
2542.500	248.000
2550.000	250.000
2557.500	256.000
2565.000	223.000
2572.500	240.000
2580.000	240.000
2587.500	238.000
2595.000	256.000
2602.500	235.000
2610.000	244.000
2617.500	250.000
2625.000	226.000
2632.500	249.000
2640.000	244.000
2647.500	254.000
2655.000	262.000
2662.500	211.000
2670.000	242.000
2677.500	235.000
2685.000	232.000
2692.500	240.000
2700.000	228.000
2707.500	233.000
2715.000	257.000
2722.500	217.000
2730.000	272.000
2737.500	253.000
2745.000	215.000
2752.500	212.000
2760.000	221.000
2767.500	240.000
2775.000	257.000
2782.500	245.000
2790.000	245.000
2797.500	256.000
2805.000	234.000
2812.500	226.000
2820.000	256.000
2827.500	240.000
2835.000	219.000
2842.500	268.000
2850.000	210.000
2857.500	236.000
2865.000	221.000
2872.500	244.000
2880.000	199.000
2887.500	235.000
2895.000	235.000
2902.500	228.000
2910.000	242.000
2917.500	234.000
2925.000	254.000
2932.500	245.000
2940.000	231.000
2947.500	243.000
2955.000	222.000
2962.500	245.000
2970.000	216.000
2977.500	249.000
2985.000	226.000
2992.500	213.000
3000.000	218.000
3007.500	211.000
3015.000	245.000
3022.500	219.000
3030.000	220.000
3037.500	221.000
3045.000	244.000
3052.500	253.000
3060.000	228.000
3067.500	216.000
3075.000	228.000
3082.500	220.000
3090.000	231.000
3097.500	219.000
3105.000	231.000
3112.500	237.000
3120.000	230.000
3127.500	238.000
3135.000	254.000
3142.500	248.000
3150.000	226.000
3157.500	243.000
3165.000	248.000
3172.500	219.000
3180.000	224.000
3187.500	225.000
3195.000	261.000
3202.500	243.000
3210.000	223.000
3217.500	241.000
3225.000	245.000
3232.500	227.000
3240.000	239.000
3247.500	260.000
3255.000	230.000
3262.500	235.000
3270.000	230.000
3277.500	249.000
3285.000	231.000
3292.500	225.000
3300.000	260.000
3307.500	266.000
3315.000	241.000
3322.500	234.000
3330.000	228.000
3337.500	237.000
3345.000	235.000
3352.500	220.000
3360.000	226.000
3367.500	230.000
3375.000	246.000
3382.500	205.000
3390.000	242.000
3397.500	255.000
3405.000	217.000
3412.500	238.000
3420.000	213.000
3427.500	218.000
3435.000	213.000
3442.500	253.000
3450.000	270.000
3457.500	255.000
3465.000	221.000
3472.500	233.000
3480.000	223.000
3487.500	261.000
3495.000	244.000
3502.500	250.000
3510.000	246.000
3517.500	224.000
3525.000	256.000
3532.500	243.000
3540.000	214.000
3547.500	232.000
3555.000	249.000
3562.500	254.000
3570.000	231.000
3577.500	217.000
3585.000	228.000
3592.500	237.000
3600.000	228.000
3607.500	232.000
3615.000	251.000
3622.500	253.000
3630.000	241.000
3637.500	255.000
3645.000	204.000
3652.500	240.000
3660.000	223.000
3667.500	229.000
3675.000	269.000
3682.500	241.000
3690.000	216.000
3697.500	217.000
3705.000	244.000
3712.500	275.000
3720.000	241.000
3727.500	239.000
3735.000	232.000
3742.500	246.000
3750.000	243.000
3757.500	257.000
3765.000	238.000
3772.500	229.000
3780.000	211.000
3787.500	249.000
3795.000	229.000
3802.500	227.000
3810.000	229.000
3817.500	262.000
3825.000	226.000
3832.500	249.000
3840.000	247.000
3847.500	256.000
3855.000	228.000
3862.500	237.000
3870.000	254.000
3877.500	231.000
3885.000	234.000
3892.500	232.000
3900.000	244.000
3907.500	231.000
3915.000	231.000
3922.500	224.000
3930.000	272.000
3937.500	231.000
3945.000	223.000
3952.500	246.000
3960.000	256.000
3967.500	229.000
3975.000	233.000
3982.500	257.000
3990.000	268.000
3997.500	227.000
4005.000	226.000
4012.500	250.000
4020.000	239.000
4027.500	248.000
4035.000	248.000
4042.500	248.000
4050.000	239.000
4057.500	226.000
4065.000	219.000
4072.500	257.000
4080.000	225.000
4087.500	260.000
4095.000	239.000
4102.500	207.000
4110.000	234.000
4117.500	270.000
4125.000	253.000
4132.500	256.000
4140.000	226.000
4147.500	213.000
4155.000	225.000
4162.500	230.000
4170.000	223.000
4177.500	259.000
4185.000	226.000
4192.500	241.000
4200.000	228.000
4207.500	241.000
4215.000	242.000
4222.500	223.000
4230.000	214.000
4237.500	266.000
4245.000	238.000
4252.500	242.000
4260.000	246.000
4267.500	223.000
4275.000	266.000
4282.500	225.000
4290.000	265.000
4297.500	218.000
4305.000	248.000
4312.500	240.000
4320.000	240.000
4327.500	216.000
4335.000	228.000
4342.500	209.000
4350.000	263.000
4357.500	226.000
4365.000	247.000
4372.500	238.000
4380.000	222.000
4387.500	245.000
4395.000	231.000
4402.500	228.000
4410.000	227.000
4417.500	268.000
4425.000	254.000
4432.500	250.000
4440.000	230.000
4447.500	242.000
4455.000	233.000
4462.500	241.000
4470.000	245.000
4477.500	258.000
4485.000	237.000
4492.500	213.000
4500.000	224.000
4507.500	213.000
4515.000	211.000
4522.500	223.000
4530.000	233.000
4537.500	219.000
4545.000	212.000
4552.500	223.000
4560.000	241.000
4567.500	241.000
4575.000	235.000
4582.500	237.000
4590.000	249.000
4597.500	243.000
4605.000	254.000
4612.500	228.000
4620.000	247.000
4627.500	240.000
4635.000	225.000
4642.500	212.000
4650.000	226.000
4657.500	235.000
4665.000	235.000
4672.500	223.000
4680.000	270.000
4687.500	238.000
4695.000	243.000
4702.500	215.000
4710.000	241.000
4717.500	242.000
4725.000	235.000
4732.500	210.000
4740.000	264.000
4747.500	249.000
4755.000	240.000
4762.500	245.000
4770.000	233.000
4777.500	232.000
4785.000	240.000
4792.500	234.000
4800.000	226.000
4807.500	225.000
4815.000	215.000
4822.500	253.000
4830.000	241.000
4837.500	258.000
4845.000	240.000
4852.500	228.000
4860.000	232.000
4867.500	250.000
4875.000	248.000
4882.500	224.000
4890.000	236.000
4897.500	209.000
4905.000	247.000
4912.500	240.000
4920.000	212.000
4927.500	230.000
4935.000	243.000
4942.500	245.000
4950.000	245.000
4957.500	255.000
4965.000	234.000
4972.500	247.000
4980.000	233.000
4987.500	253.000
4995.000	247.000
5002.500	220.000
5010.000	232.000
5017.500	223.000
5025.000	243.000
5032.500	256.000
5040.000	245.000
5047.500	244.000
5055.000	217.000
5062.500	218.000
5070.000	220.000
5077.500	239.000
5085.000	232.000
5092.500	222.000
5100.000	247.000
5107.500	231.000
5115.000	210.000
5122.500	239.000
5130.000	249.000
5137.500	248.000
5145.000	263.000
5152.500	264.000
5160.000	240.000
5167.500	235.000
5175.000	192.000
5182.500	236.000
5190.000	208.000
5197.500	240.000
5205.000	225.000
5212.500	203.000
5220.000	257.000
5227.500	233.000
5235.000	228.000
5242.500	235.000
5250.000	231.000
5257.500	238.000
5265.000	231.000
5272.500	243.000
5280.000	255.000
5287.500	244.000
5295.000	263.000
5302.500	232.000
5310.000	210.000
5317.500	262.000
5325.000	251.000
5332.500	218.000
5340.000	257.000
5347.500	240.000
5355.000	237.000
5362.500	234.000
5370.000	246.000
5377.500	226.000
5385.000	258.000
5392.500	251.000
5400.000	239.000
5407.500	253.000
5415.000	247.000
5422.500	219.000
5430.000	223.000
5437.500	224.000
5445.000	229.000
5452.500	223.000
5460.000	197.000
5467.500	230.000
5475.000	231.000
5482.500	231.000
5490.000	239.000
5497.500	231.000
5505.000	235.000
5512.500	232.000
5520.000	242.000
5527.500	239.000
5535.000	228.000
5542.500	242.000
5550.000	240.000
5557.500	212.000
5565.000	250.000
5572.500	231.000
5580.000	243.000
5587.500	232.000
5595.000	265.000
5602.500	215.000
5610.000	257.000
5617.500	248.000
5625.000	252.000
5632.500	232.000
5640.000	238.000
5647.500	227.000
5655.000	253.000
5662.500	237.000
5670.000	245.000
5677.500	243.000
5685.000	236.000
5692.500	239.000
5700.000	250.000
5707.500	239.000
5715.000	236.000
5722.500	244.000
5730.000	245.000
5737.500	265.000
5745.000	228.000
5752.500	212.000
5760.000	219.000
5767.500	231.000
5775.000	211.000
5782.500	225.000
5790.000	234.000
5797.500	225.000
5805.000	247.000
5812.500	256.000
5820.000	222.000
5827.500	245.000
5835.000	212.000
5842.500	226.000
5850.000	261.000
5857.500	214.000
5865.000	250.000
5872.500	218.000
5880.000	243.000
5887.500	242.000
5895.000	234.000
5902.500	237.000
5910.000	243.000
5917.500	246.000
5925.000	232.000
5932.500	243.000
5940.000	251.000
5947.500	231.000
5955.000	215.000
5962.500	232.000
5970.000	222.000
5977.500	248.000
5985.000	232.000
5992.500	239.000
6000.000	220.000
6007.500	237.000
6015.000	225.000
6022.500	229.000
6030.000	220.000
6037.500	248.000
6045.000	257.000
6052.500	223.000
6060.000	222.000
6067.500	229.000
6075.000	268.000
6082.500	217.000
6090.000	242.000
6097.500	230.000
6105.000	228.000
6112.500	259.000
6120.000	239.000
6127.500	221.000
6135.000	207.000
6142.500	250.000
6150.000	248.000
6157.500	244.000
6165.000	220.000
6172.500	231.000
6180.000	230.000
6187.500	232.000
6195.000	239.000
6202.500	246.000
6210.000	248.000
6217.500	227.000
6225.000	231.000
6232.500	198.000
6240.000	228.000
6247.500	228.000
6255.000	236.000
6262.500	256.000
6270.000	262.000
6277.500	256.000
6285.000	259.000
6292.500	258.000
6300.000	255.000
6307.500	200.000
6315.000	239.000
6322.500	240.000
6330.000	243.000
6337.500	223.000
6345.000	261.000
6352.500	225.000
6360.000	235.000
6367.500	226.000
6375.000	229.000
6382.500	202.000
6390.000	230.000
6397.500	222.000
6405.000	235.000
6412.500	251.000
6420.000	238.000
6427.500	239.000
6435.000	236.000
6442.500	231.000
6450.000	223.000
6457.500	249.000
6465.000	264.000
6472.500	210.000
6480.000	239.000
6487.500	224.000
6495.000	238.000
6502.500	234.000
6510.000	243.000
6517.500	242.000
6525.000	241.000
6532.500	225.000
6540.000	254.000
6547.500	231.000
6555.000	230.000
6562.500	239.000
6570.000	239.000
6577.500	240.000
6585.000	226.000
6592.500	222.000
6600.000	258.000
6607.500	226.000
6615.000	265.000
6622.500	234.000
6630.000	234.000
6637.500	204.000
6645.000	244.000
6652.500	258.000
6660.000	241.000
6667.500	232.000
6675.000	223.000
6682.500	258.000
6690.000	244.000
6697.500	264.000
6705.000	245.000
6712.500	235.000
6720.000	259.000
6727.500	222.000
6735.000	222.000
6742.500	248.000
6750.000	238.000
6757.500	275.000
6765.000	247.000
6772.500	249.000
6780.000	224.000
6787.500	239.000
6795.000	255.000
6802.500	243.000
6810.000	243.000
6817.500	230.000
6825.000	237.000
6832.500	228.000
6840.000	240.000
6847.500	226.000
6855.000	219.000
6862.500	241.000
6870.000	233.000
6877.500	226.000
6885.000	226.000
6892.500	237.000
6900.000	219.000
6907.500	229.000
6915.000	271.000
6922.500	223.000
6930.000	205.000
6937.500	267.000
6945.000	252.000
6952.500	236.000
6960.000	220.000
6967.500	222.000
6975.000	228.000
6982.500	248.000
6990.000	264.000
6997.500	236.000
7005.000	243.000
7012.500	231.000
7020.000	252.000
7027.500	231.000
7035.000	243.000
7042.500	246.000
7050.000	244.000
7057.500	267.000
7065.000	224.000
7072.500	225.000
7080.000	243.000
7087.500	241.000
7095.000	213.000
7102.500	237.000
7110.000	229.000
7117.500	249.000
7125.000	251.000
7132.500	274.000
7140.000	208.000
7147.500	228.000
7155.000	246.000
7162.500	211.000
7170.000	223.000
7177.500	229.000
7185.000	261.000
7192.500	257.000
7200.000	230.000
7207.500	229.000
7215.000	245.000
7222.500	243.000
7230.000	233.000
7237.500	279.000
7245.000	247.000
7252.500	246.000
7260.000	223.000
7267.500	252.000
7275.000	226.000
7282.500	260.000
7290.000	226.000
7297.500	217.000
7305.000	244.000
7312.500	251.000
7320.000	214.000
7327.500	253.000
7335.000	248.000
7342.500	249.000
7350.000	258.000
7357.500	223.000
7365.000	247.000
7372.500	259.000
7380.000	241.000
7387.500	239.000
7395.000	225.000
7402.500	218.000
7410.000	261.000
7417.500	237.000
7425.000	233.000
7432.500	232.000
7440.000	249.000
7447.500	231.000
7455.000	253.000
7462.500	225.000
7470.000	221.000
7477.500	207.000
7485.000	237.000
7492.500	279.000
7500.000	244.000
7507.500	224.000
7515.000	238.000
7522.500	238.000
7530.000	229.000
7537.500	235.000
7545.000	239.000
7552.500	239.000
7560.000	242.000
7567.500	246.000
7575.000	250.000
7582.500	223.000
7590.000	246.000
7597.500	240.000
7605.000	255.000
7612.500	261.000
7620.000	232.000
7627.500	236.000
7635.000	215.000
7642.500	235.000
7650.000	238.000
7657.500	262.000
7665.000	232.000
7672.500	270.000
7680.000	234.000
7687.500	245.000
7695.000	261.000
7702.500	238.000
7710.000	254.000
7717.500	246.000
7725.000	260.000
7732.500	257.000
7740.000	204.000
7747.500	229.000
7755.000	244.000
7762.500	219.000
7770.000	271.000
7777.500	236.000
7785.000	204.000
7792.500	244.000
7800.000	224.000
7807.500	251.000
7815.000	231.000
7822.500	236.000
7830.000	237.000
7837.500	242.000
7845.000	248.000
7852.500	243.000
7860.000	270.000
7867.500	231.000
7875.000	240.000
7882.500	217.000
7890.000	258.000
7897.500	263.000
7905.000	240.000
7912.500	231.000
7920.000	231.000
7927.500	269.000
7935.000	221.000
7942.500	266.000
7950.000	247.000
7957.500	243.000
7965.000	252.000
7972.500	251.000
7980.000	218.000
7987.500	223.000
7995.000	211.000
8002.500	251.000
8010.000	254.000
8017.500	238.000
8025.000	243.000
8032.500	249.000
8040.000	246.000
8047.500	240.000
8055.000	246.000
8062.500	258.000
8070.000	253.000
8077.500	272.000
8085.000	235.000
8092.500	240.000
8100.000	231.000
8107.500	223.000
8115.000	240.000
8122.500	233.000
8130.000	233.000
8137.500	237.000
8145.000	220.000
8152.500	242.000
8160.000	243.000
8167.500	275.000
8175.000	226.000
8182.500	242.000
8190.000	246.000
8197.500	244.000
8205.000	231.000
8212.500	229.000
8220.000	243.000
8227.500	224.000
8235.000	269.000
8242.500	246.000
8250.000	214.000
8257.500	197.000
8265.000	241.000
8272.500	232.000
8280.000	229.000
8287.500	244.000
8295.000	215.000
8302.500	237.000
8310.000	251.000
8317.500	234.000
8325.000	235.000
8332.500	235.000
8340.000	226.000
8347.500	249.000
8355.000	227.000
8362.500	249.000
8370.000	242.000
8377.500	232.000
8385.000	238.000
8392.500	219.000
8400.000	236.000
8407.500	243.000
8415.000	234.000
8422.500	247.000
8430.000	258.000
8437.500	256.000
8445.000	211.000
8452.500	244.000
8460.000	227.000
8467.500	224.000
8475.000	256.000
8482.500	240.000
8490.000	272.000
8497.500	200.000
8505.000	241.000
8512.500	230.000
8520.000	221.000
8527.500	224.000
8535.000	254.000
8542.500	239.000
8550.000	228.000
8557.500	222.000
8565.000	242.000
8572.500	251.000
8580.000	253.000
8587.500	259.000
8595.000	234.000
8602.500	252.000
8610.000	254.000
8617.500	237.000
8625.000	238.000
8632.500	261.000
8640.000	232.000
8647.500	241.000
8655.000	255.000
8662.500	227.000
8670.000	237.000
8677.500	225.000
8685.000	243.000
8692.500	238.000
8700.000	227.000
8707.500	233.000
8715.000	246.000
8722.500	261.000
8730.000	237.000
8737.500	251.000
8745.000	229.000
8752.500	243.000
8760.000	244.000
8767.500	231.000
8775.000	224.000
8782.500	242.000
8790.000	255.000
8797.500	257.000
8805.000	237.000
8812.500	253.000
8820.000	226.000
8827.500	229.000
8835.000	261.000
8842.500	224.000
8850.000	233.000
8857.500	227.000
8865.000	235.000
8872.500	235.000
8880.000	244.000
8887.500	249.000
8895.000	231.000
8902.500	249.000
8910.000	250.000
8917.500	236.000
8925.000	204.000
8932.500	264.000
8940.000	278.000
8947.500	227.000
8955.000	214.000
8962.500	223.000
8970.000	253.000
8977.500	247.000
8985.000	228.000
8992.500	236.000
9000.000	227.000
9007.500	221.000
9015.000	214.000
9022.500	232.000
9030.000	213.000
9037.500	235.000
9045.000	230.000
9052.500	231.000
9060.000	240.000
9067.500	247.000
9075.000	240.000
9082.500	236.000
9090.000	239.000
9097.500	252.000
